교차로명,소재지도로명주소,소재지지번주소,위도,경도,설치일자,통계시작일자,통계종료일자,일평균통과차량수,관리기관명,관리부서전화번호,데이터기준일자
LCD서문교차로,경기도 파주시 월롱면 엘지로 408-3,경기도 파주시 월롱면 덕은리 772-55,37.8190998824,126.7566249378,2023-05-30,2024-08-01,2025-08-01,14382,경기도 파주시청,031-940-5254,2025-08-14
LG로동문삼거리,경기도 파주시 월롱면 엘지로 196,경기도 파주시 월롱면 덕은리 1037,37.8122497544,126.7785061045,2023-05-30,2024-08-01,2025-08-01,14312,경기도 파주시청,031-940-5254,2025-08-14
가온지하차도,경기도 파주시 교하로307번길 5-31,경기도 파주시 동패동 1836,37.7155462562,126.7380085968,2021-03-01,2024-08-01,2025-08-01,22216,경기도 파주시청,031-940-5254,2025-08-14
가온초교사거리,경기도 파주시 와석순환로 380,경기도 파주시 목동동 690,37.7230598623,126.7487544676,2021-03-01,2024-08-01,2025-08-01,31893,경기도 파주시청,031-940-5254,2025-08-14
가월교차로,경기도 파주시 적성면 감악산로 1533,경기도 파주시 적성면 가월리 842,37.9815622827,126.9171521804,2023-05-30,2024-08-01,2025-08-01,8905,경기도 파주시청,031-940-5254,2025-08-14
갈현사거리,경기도 파주시 탄현면 평화로 538,경기도 파주시 탄현면 갈현리 1784-4,37.7718051232,126.7246132259,2021-03-01,2024-08-01,2025-08-01,33610,경기도 파주시청,031-940-5254,2025-08-14
교하교차로,경기도 파주시 숲속노을로 275,경기도 파주시 문발동 561-1,37.7250443098,126.7108471977,2021-03-01,2024-08-01,2025-08-01,42499,경기도 파주시청,031-940-5254,2025-08-14
교하도서관사거리,경기도 파주시 숲속노을로 265,경기도 파주시 문발동 562-2,37.72413165,126.7112235874,2023-05-30,2024-08-01,2025-08-01,14846,경기도 파주시청,031-940-5254,2025-08-14
교하삼거리,경기도 파주시 천정구로 193,경기도 파주시 교하동 368-5,37.7524876434,126.7506300979,2021-03-01,2024-08-01,2025-08-01,53390,경기도 파주시청,031-940-5254,2025-08-14
금능프라자삼거리,경기도 파주시 독암길 3,경기도 파주시 금촌동 796-9,37.7551972661,126.7818690829,2023-05-30,2024-08-01,2025-08-01,23665,경기도 파주시청,031-940-5254,2025-08-14
금촌역교차로,경기도 파주시 새꽃로 192,경기도 파주시 금촌동 329-352,37.7648905835,126.7738021249,2023-05-30,2024-08-01,2025-08-01,26461,경기도 파주시청,031-940-5254,2025-08-14
금촌역삼거리,경기도 파주시 경의로 1777,경기도 파주시 금촌동 369-6,37.766361722,126.7728419131,2023-05-30,2024-08-01,2025-08-01,19028,경기도 파주시청,031-940-5254,2025-08-14
금촌제1광장교차로,경기도 파주시 중앙로 208,경기도 파주시 금촌동 796-7,37.7554529711,126.7810490273,2023-05-30,2024-08-01,2025-08-01,24306,경기도 파주시청,031-940-5254,2025-08-14
금촌제일교회사거리,경기도 파주시 중앙로 287,경기도 파주시 아동동 328-15,37.7615338802,126.7761712756,2023-05-30,2024-08-01,2025-08-01,16144,경기도 파주시청,031-940-5254,2025-08-14
금화초사거리,경기도 파주시 새꽃로 55,경기도 파주시 금촌동 974,37.755041442,126.7676540011,2023-05-30,2024-08-01,2025-08-01,16578,경기도 파주시청,031-940-5254,2025-08-14
낙하IC삼거리,경기도 파주시 탄현면 동오리길 197-24,경기도 파주시 탄현면 낙하리 232,37.8381037303,126.7347748284,2023-05-30,2024-08-01,2025-08-01,11113,경기도 파주시청,031-940-5254,2025-08-14
내포IC교차로,경기도 파주시 문산읍 방촌로 1460,경기도 파주시 문산읍 내포리 554-6,37.8492578811,126.7649390028,2023-05-30,2024-08-01,2025-08-01,8589,경기도 파주시청,031-940-5254,2025-08-14
능골교차로,경기도 파주시 월롱면 국사봉길 18,경기도 파주시 월롱면 능산리 260,37.827907824,126.7723655417,2023-05-30,2024-08-01,2025-08-01,8085,경기도 파주시청,031-940-5254,2025-08-14
다율교차로,경기도 파주시 청암로 75,경기도 파주시 다율동 1044-8,37.734799401,126.7330354201,2021-03-01,2024-08-01,2025-08-01,80993,경기도 파주시청,031-940-5254,2025-08-14
당동교차로,경기도 파주시 문산읍 당동1로 50,경기도 파주시 문산읍 당동리 169-9,37.8638055831,126.7739461757,2023-05-30,2024-08-01,2025-08-01,8216,경기도 파주시청,031-940-5254,2025-08-14
대원사거리,경기도 파주시 조리읍 고봉로 931,경기도 파주시 조리읍 대원리 637-18,37.7348586436,126.8036951399,2023-05-30,2024-08-01,2025-08-01,34546,경기도 파주시청,031-940-5254,2025-08-14
대하마트사거리,경기도 파주시 가나무로 79,경기도 파주시 금촌동 121-21,37.7544507031,126.7740144522,2023-05-30,2024-08-01,2025-08-01,21184,경기도 파주시청,031-940-5254,2025-08-14
덕은2교차로,경기도 파주시 월롱면 다래울길 97,경기도 파주시 월롱면 덕은리 126,37.7904530944,126.7778115511,2023-05-30,2024-08-01,2025-08-01,27021,경기도 파주시청,031-940-5254,2025-08-14
동패고사거리,경기도 파주시 교하로329번길 6-26,경기도 파주시 동패동 1871-3,37.7119127673,126.735643737,2023-05-30,2024-08-01,2025-08-01,9754,경기도 파주시청,031-940-5254,2025-08-14
두레공원교차로,경기도 파주시 미래로 596,경기도 파주시 와동동 1304-2,37.730424833,126.7518585699,2021-03-01,2024-08-01,2025-08-01,38939,경기도 파주시청,031-940-5254,2025-08-14
두일중사거리,경기도 파주시 책향기로 277,경기도 파주시 문발동 602-7,37.720223168,126.7113022776,2023-05-30,2024-08-01,2025-08-01,8861,경기도 파주시청,031-940-5254,2025-08-14
말레이지아교교차로,경기도 파주시 조리읍 고산말길 3,경기도 파주시 조리읍 등원리 390-2,37.7505994109,126.798704808,2021-03-01,2024-08-01,2025-08-01,79200,경기도 파주시청,031-940-5254,2025-08-14
문발동(한성타워앞)3R,경기도 파주시 교하로 931,경기도 파주시 문발동 29-5,37.7291143148,126.7067500322,2023-05-30,2024-08-01,2025-08-01,14977,경기도 파주시청,031-940-5254,2025-08-14
문산북중교차로,경기도 파주시 문산읍 당동1로 25-4,경기도 파주시 문산읍 당동리 916-1,37.8619932412,126.7749844742,2023-05-30,2024-08-01,2025-08-01,,경기도 파주시청,031-940-5254,2025-08-14
문산제일고삼거리,경기도 파주시 창곡동길 73,경기도 파주시 야동동 152-5,37.7714778562,126.7637762136,2021-03-01,2024-08-01,2025-08-01,49614,경기도 파주시청,031-940-5254,2025-08-14
미래로교차로,경기도 파주시 미래로 319,경기도 파주시 동패동 106-1,37.7064790222,126.7456032057,2021-03-01,2024-08-01,2025-08-01,48031,경기도 파주시청,031-940-5254,2025-08-14
방촌교차로,,경기도 파주시 문산읍 내포리 472-4,37.8550052794,126.77150757,2024-10-01,2024-08-01,2025-08-01,14614,경기도 파주시청,031-940-5254,2025-08-14
벧엘교회교차로,경기도 파주시 가람로 75,경기도 파주시 와동동 1551,37.735222072,126.7581164743,2021-03-01,2024-08-01,2025-08-01,84105,경기도 파주시청,031-940-5254,2025-08-14
봉일천사거리,경기도 파주시 조리읍 중앙로 18,경기도 파주시 조리읍 등원리 107-7,37.74910724,126.8007786101,2023-05-30,2024-08-01,2025-08-01,41655,경기도 파주시청,031-940-5254,2025-08-14
산남IC 교차로,경기도 파주시 산남로 183-3,경기도 파주시 산남동 51-6,37.6968931836,126.7031879229,2023-05-30,2024-08-01,2025-08-01,9651,경기도 파주시청,031-940-5254,2025-08-14
산내10단지사거리,경기도 파주시 와석순환로252번길 7-1,경기도 파주시 목동동 1096-4,37.7199279292,126.7372724775,2023-05-30,2024-08-01,2025-08-01,25409,경기도 파주시청,031-940-5254,2025-08-14
산내11단지삼거리,경기도 파주시 와석순환로 308,경기도 파주시 목동동 1054-2,37.7238041789,126.7400804394,2023-05-30,2024-08-01,2025-08-01,16604,경기도 파주시청,031-940-5254,2025-08-14
산내3단지사거리,경기도 파주시 교하로 87,경기도 파주시 목동동 941-1,37.7276351586,126.7339276317,2021-03-01,2024-08-01,2025-08-01,40994,경기도 파주시청,031-940-5254,2025-08-14
산내6단지사거리,경기도 파주시 청암로48번길 8-4,경기도 파주시 목동동 878,37.7328617107,126.73558459,2023-05-30,2024-08-01,2025-08-01,26463,경기도 파주시청,031-940-5254,2025-08-14
산내공원교차로,경기도 파주시 심학산로 413,경기도 파주시 목동동 1135,37.7185473905,126.7374827579,2021-03-01,2024-08-01,2025-08-01,51121,경기도 파주시청,031-940-5254,2025-08-14
산내교차로,경기도 파주시 해올1길 31,경기도 파주시 다율동 1041-3,37.7320550477,126.7278567778,2021-03-01,2024-08-01,2025-08-01,77040,경기도 파주시청,031-940-5254,2025-08-14
