epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2053,1.65893,6.75207,2.252,0.00204,0.37636,0.04859,0.01707,1.90903,6.75673,2.68921,0.0671294,6.5873e-05,6.5873e-05
2,67.125,1.50243,5.23379,2.12502,0.58548,0.18198,0.17843,0.07364,1.72379,4.8554,2.37593,0.0338627,0.000132525,0.000132525
3,92.3243,1.43895,4.7041,2.06307,0.82368,0.22562,0.31727,0.14876,1.54901,4.33901,2.1979,0.000595945,0.00019912,0.00019912
4,116.757,1.33363,4.21051,1.95764,0.85687,0.23804,0.31586,0.15226,1.48571,4.02147,2.09809,0.000199805,0.000199805,0.000199805
5,141.773,1.35083,4.04848,1.96616,0.88979,0.2884,0.46213,0.23055,1.42625,3.42246,2.01141,0.000199653,0.000199653,0.000199653
6,167.485,1.38226,3.86755,1.94557,0.38798,0.44474,0.44762,0.22891,1.438,3.21307,2.07868,0.000199458,0.000199458,0.000199458
7,192.835,1.2968,3.59808,1.87021,0.62641,0.47954,0.52872,0.26092,1.3717,3.09574,2.01634,0.000199219,0.000199219,0.000199219
8,217.178,1.28002,3.49513,1.86365,0.77911,0.53202,0.52039,0.25828,1.41138,3.06054,2.04468,0.000198938,0.000198938,0.000198938
9,241.923,1.26485,3.36585,1.87315,0.86234,0.47951,0.53801,0.27678,1.41788,3.0193,2.01066,0.000198614,0.000198614,0.000198614
10,269.154,1.24353,3.27326,1.81288,0.71523,0.52037,0.52048,0.28815,1.38611,3.15711,1.9945,0.000198246,0.000198246,0.000198246
11,294.42,1.19708,3.10562,1.7762,0.73237,0.52427,0.51717,0.29981,1.30163,2.7657,1.89535,0.000197837,0.000197837,0.000197837
12,318.27,1.19827,3.00442,1.8113,0.78274,0.60069,0.59553,0.3178,1.29619,2.55616,1.90117,0.000197384,0.000197384,0.000197384
13,342.977,1.18936,2.93862,1.74197,0.75695,0.55928,0.57742,0.32103,1.38356,2.67497,1.97375,0.00019689,0.00019689,0.00019689
14,368.53,1.1342,2.87925,1.68933,0.69135,0.55594,0.54251,0.3262,1.22646,2.54861,1.8234,0.000196353,0.000196353,0.000196353
15,393.322,1.15149,2.83154,1.7354,0.6875,0.59195,0.57878,0.31863,1.29603,2.36671,1.90613,0.000195775,0.000195775,0.000195775
16,416.818,1.15315,2.78737,1.74861,0.81638,0.55937,0.57948,0.35912,1.23796,2.32409,1.88482,0.000195155,0.000195155,0.000195155
17,442.009,1.08668,2.62638,1.69282,0.71869,0.56322,0.53426,0.32301,1.26507,2.30506,1.84409,0.000194493,0.000194493,0.000194493
18,468.933,1.11892,2.59321,1.69587,0.76704,0.56292,0.55389,0.33016,1.22596,2.27762,1.79545,0.000193791,0.000193791,0.000193791
19,495.024,1.07507,2.56843,1.6684,0.84786,0.55387,0.62254,0.3506,1.24498,2.23206,1.84004,0.000193048,0.000193048,0.000193048
20,519.399,1.05911,2.40844,1.63197,0.6786,0.5754,0.53706,0.31145,1.25741,2.28121,1.83137,0.000192264,0.000192264,0.000192264
21,543.396,1.06808,2.32737,1.64943,0.76606,0.57362,0.60028,0.34964,1.22589,2.1168,1.81007,0.000191441,0.000191441,0.000191441
22,568.605,1.01316,2.35802,1.61714,0.792,0.50549,0.5856,0.34244,1.26188,2.23508,1.83658,0.000190578,0.000190578,0.000190578
23,593.908,1.06703,2.38983,1.65897,0.77036,0.59777,0.59932,0.35739,1.20589,2.13227,1.83138,0.000189675,0.000189675,0.000189675
24,617.497,1.06403,2.27571,1.66328,0.58486,0.56813,0.61065,0.3724,1.2264,2.14082,1.84017,0.000188734,0.000188734,0.000188734
25,642.778,1.04536,2.25633,1.66403,0.6939,0.53723,0.59401,0.3653,1.29125,2.14704,1.86564,0.000187754,0.000187754,0.000187754
26,667.812,1.03745,2.16416,1.60516,0.54854,0.59092,0.59415,0.35907,1.29166,2.13326,1.89555,0.000186737,0.000186737,0.000186737
27,694.082,1.04326,2.17216,1.63696,0.58747,0.7923,0.65623,0.39616,1.23155,1.98625,1.79892,0.000185681,0.000185681,0.000185681
28,718.035,1.02082,2.21819,1.61836,0.58119,0.59694,0.63934,0.36158,1.28469,2.23319,1.89791,0.000184588,0.000184588,0.000184588
29,742.825,1.04085,2.18737,1.60433,0.60009,0.58101,0.61994,0.34533,1.26489,2.17817,1.89603,0.000183459,0.000183459,0.000183459
30,767.45,0.99032,2.06223,1.57524,0.65862,0.78161,0.71894,0.39586,1.25953,2.15768,1.87211,0.000182294,0.000182294,0.000182294
31,791.089,0.97269,2.02461,1.57877,0.61528,0.61217,0.65677,0.38616,1.26014,2.06146,1.85709,0.000181093,0.000181093,0.000181093
32,815.033,0.99153,2.02093,1.5696,0.58269,0.63332,0.65249,0.40703,1.19047,1.95041,1.80094,0.000179856,0.000179856,0.000179856
33,840.132,0.96145,2.02975,1.53687,0.60109,0.59144,0.61564,0.37476,1.21376,2.02039,1.80937,0.000178586,0.000178586,0.000178586
34,865.031,0.94022,1.95097,1.56965,0.58236,0.59751,0.60176,0.36777,1.18186,2.03526,1.78234,0.000177281,0.000177281,0.000177281
